age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
25,F,16,social_media,stress,Constant_comparison_to_others_on_social_media_platforms_can_lead_to_feelings_of_inadequacy_and_low_self,Lack_of_meaningful_social_connections_can_lead_to_feelings_of_isolation_and_depression,internet_connectivity,smartphones,online_shopping,work_life_balance,financial_stress,academic_pressure
33,M,18,financial_stress,stress,Excessive_work_demands_can_lead_to_burnout_and_negatively_impact_mental_health,Stress_from_work_or_personal_life_can_lead_to_negative_emotions_and_a_decrease_in_mental_well_being,internet_connectivity,remote_work,streaming_services,childcare_responsibilities,work-life_balance,excessive_screen_time
42,F,14,stress,Stress,Financial_stress_can_lead_to_constant_worrying_about_money,Stress_from_work_or_personal_life_can_lead_to_negative_emotions_and_a_decrease_in_mental_well_being,online_education,online_shopping,work_life_balance,work_life_balance,work_demands,cyberbullying
29,M,15,social_media,financial_stress,Constant_comparison_to_others_on_social_media_platforms_can_lead_to_feelings_of_inadequacy_and_low_self,Excessive_work_demands_can_lead_to_burnout_and_negatively_impact_mental_health,instant_communication,smartphones,streaming_services,childcare_responsibilities,work-life_balance,academic_pressure
37,F,20,work_demand,stress,Lack_of_meaningful_social_connections_can_lead_to_feelings_of_isolation_and_depression,Excessive_work_demands_can_lead_to_burnout_and_negatively_impact_mental_health,online_education,streaming_services,work_life_balance,financial_stress,financial_stress,peer_pressure
46,M,22,stress,loneliness,Stress_from_work_or_personal_life_can_lead_to_negative_emotions_and_a_decrease_in_mental_well,Stress_from_work_or_personal_life_can_lead_to_negative_emotions_and_a_decrease_in_mental_well_being,internet_connectivity,streaming_services,smartphones,work_demands,work_demands,social_media
55,F,16,loneliness,stress,Excessive_work_demands_can_lead_to_burnout_and_negatively_impact_mental_health,Constant_comparison_to_others_on_social_media_platforms_can_lead_to_feelings_of_inadequacy_and_low_self_esteem,remote_work,work_life_balance,streaming_services,childcare_responsibilities,financial_stress,cyberbullying
23,M,13,social_media,work_demand,Lack_of_meaningful_social_connections_can_lead_to_feelings_of_isolation_and_depression,Financial_stress_can_lead_to_constant_worrying_about_money,instant_communication,remote_work,streaming_services,financial_stress,work_demands,excessive_screen_time
38,F,12,financial_stress,loneliness,Financial_stress_can_lead_to_constant_worrying_about_money,Constant_comparison_to_others_on_social_media_platforms_can_lead_to_feelings_of_inadequacy_and_low_self_esteem,online_education,smartphones,online_shopping,financial_stress,financial_stress,academic_pressure
25,F,23,social_media,loneliness,Stress_from_work_or_personal_life_can_lead_to_negative_emotions_and_a_decrease_in_mental_well,Constant_comparison_to_others_on_social_media_platforms_can_lead_to_feelings_of_inadequacy_and_low_self_esteem,online_education,online_shopping,streaming_services,childcare_responsibilities,work_demands,academic_pressure